State,Scheme,Details,Eligibility,Website/Apply at
Telangana,Saakshar Bharat,"To provide training to illiterates with age between 15 to 50 years to read and write and to appear in NIOS examination(literacy test), to become literate and get certified as literate",15 - 50 years,http://mhrd.gov.in/saakshar_bharat
Telangana,T-Fiber,"This scheme is designed to achieve 'Digital Telangana' by providing affordable & reliable high-speed breadband connectivity to every household, government and private institutions in telangana.",-,http://tfiber.telangana.gov.in/ 
Telangana,Sheep distribution,"This scheme gave a quantum jump to the rural economy and is designed for the upliftment of Yadava/Golla/Kuruma families who are approximately 4 lakhs in the state. The traditional shepherd families will be supported with the supply of (20+1) sheep on 75% subsidy with a total project outlay of Rs. 5,000 crores.",-,https://vikarabad.telangana.gov.in/scheme/sheep-distribution-scheme/
Telangana,Land distribution to Dalit,"This scheme provides 3 acres of agricultural land to landless SC women, along with the provision for creation of irrigation facilities, land development and agricultural inputs for their sustained livelihood. Government distributed 2,524 acres of land to 959 Dalits spending RS.94 crore in the first year.",SC women,MRO office
Telangana,Raythu Bandu,"When farmers do not get remunerative price for their produce, they may avail short term advance under Rythu Bandu Pathakam for all the notified commodities by keeping their produce in the AMC godowns till they secure reasonable price for their produce. The salient features of the scheme are they can avail the advance up to 75% of the value of the stock pledged or up to a ceiling of Rs. 2.00 Lakhs which ever is high, without any interest till (180) days. From (181) days to (270) days interest @ 12% will be levied. After (270) days if the farmers do not lift the stock even then, the Market Committee has the right to dispose of the produce and recover the loan amount along with the interest from the sale proceeds.","1. Applicant must be a permanent resident of Telangana State 
2. Applicant must have their own agricultural land.",http://rythubandhu.telangana.gov.in/
Telangana,Housing for the poor,This hallmark initiative of the Telangana government is intended to provide quality and respectable housing to the poor. The â€˜housing for the poorâ€™ plan provides for two and three storied buildings with the 2 BHK flats in Hyderabad and other urban areas while they are to be built as independent houses in rural areas.,Low income,MRO office
Telangana,KCR Kit,"The state government has launched KCR Kit Scheme for pregnant women. Pregnant women can utilize this scheme for maximum 2 deliveries. Women who give birth at a government hospital can utilize this scheme. The main aim of this scheme is to provide all the necessary items for pregnant women and the newborn baby. Under this scheme, pregnant women will be provided with financial assistance of Rs. 12,000 in three phases. In case of a baby girl, an additional Rs. 1000 will be given by the government. KCR Kit contains Baby oil, Soaps useful for mother and child, Mosquito net, Dresses, Handbag, Toys for child, Diapers, Powder, Shampoo, Sarees, Towel and Napkins, Baby bed.",Pregnant Womens,http://kcrkit.telangana.gov.in
Andhra Pradesh,YSR Asara,This scheme's main objective is to empower women and improve their financial stability.,Women from AP state,https://apmepma.gov.in/
Andhra Pradesh,YSR Navasakam,"The residents of Andhra Pradesh can look through their land records like jamabandi, ROR 1-B, town map, pahani records, and so on Beforehand for getting land records the residents were needed to visit government workplaces.",-,https://meebhoomi.ap.gov.in/
Andhra Pradesh,YSR Navodayam,This scheme is launched for the people of the AP state who are carrying out micro-level or small-medium business activities on their capital and risk,"1. The applicant should be working as a Tailors, Weavers, or Barbers. 
2. Also, the servants at MSMEs are eligible under this scheme.
3. The candidate must be a permanent citizen of Andra Pradesh.
4. The beneficiaries must belong to the BPL population (i.e. Below the Poverty Line).
5. The candidate must have a working bank account and an Aadhaar card.
6. The candidate should be a part of the BC community employed in the profession of tailoring.
7. The candidate must have a white ration card .",https://apkapucorp.cgg.gov.in/login.do?module=3
Andhra Pradesh,Jagananna Vidya Deevena,,"Students studying ITI, Diploma, Pharmacy, MBA, MCA, and B.Ed and other Courses.",navasakam4.apcfss.in
Andhra Pradesh,Amma Vodi,"The main aim of this scheme is to help the poor private, government schools, and intermediate students. Through this scheme, the Andhra Pradesh State Government Rs.15000/- as a finical assistance per year to all mothers who will send their children to schools.","1. Candidates must be the permanent resident of the Andhra Pradesh State
2. Mother or guardians must ensure their children have more than 75% attendance in school.
3. Private, Government schools and intermediate students are eligible to apply",jaganannaammavodi.ap.gov.in
Arunachal Pradesh,Dulari Kanya,"In this scheme, Arunachal Pradesh govt. deposits an amount of Rs. 20000/- as Fixed Deposit (FD) for the girl child born in any government or government recognized private hospital. The amount can be withdrawn by the beneficiary on attaining the age of 18 years, which will be subject to verification.","1. Applicant should be an Arunachal Pradesh schedule tribe or a domicile resident of Arunachal Pradesh or household residential certificate.
2. Benefites restricted to maximum of first 2 (two) live girl child.",https://papumpare.nic.in/scheme/dulari-kanya/
Assam,Arundhati Gold scheme,"The objective of the scheme is to facilitate the parents of the girl child who are economically not very sound, but like all parents desire to give some gold. Government offers 10grams of gold to every bride.",,https://revenueassam.nic.in/arundhati
